Date,SeasonNumber,Player,MatchId,Map,Category,Playlist,PreCsr,PostCsr,Rank,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds,Win,Loss,Draw
2024-08-17 23:28:54,8.0,Zaidster7,2de2baa9-9268-47bd-8466-a8ef200a4661,Argyle - Ranked,CTF 3 Captures,Ranked Arena,0,0,7,Left,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,0.0,0,0,41,0,0,0
2024-08-17 23:31:33,8.0,Zaidster7,11924670-6059-481f-9a45-8b88db322306,Forbidden - Ranked,CTF 3 Captures,Ranked Arena,1536,1544,1,Win,65.96,3030,4058,94,62,32,0.83,0.33,10,0.0,0.0,7.0,3.0,0.0,0.0,0.0,12,7,0,0,2,0,0,14.0,13.0,2010.0,0,5,517,1,0,0
2024-08-17 23:41:11,8.0,Zaidster7,2c4efd6f-1727-4017-9fc6-4d64292ca3b4,Argyle - Ranked,CTF 3 Captures,Ranked Arena,1544,1536,5,Loss,65.31,4407,3631,98,64,34,1.15,3.66,15,1.0,2.0,8.0,7.0,0.0,0.0,0.0,13,5,0,0,5,0,0,13.0,12.0,2100.0,0,12,493,0,1,0
2024-08-17 23:50:37,8.0,Zaidster7,b5c61225-6b29-48be-aaf2-f78d63e19f55,Recharge - Ranked,Strongholds,Ranked Arena,1536,1546,1,Win,60.8,7531,6770,250,152,98,1.65,15.0,28,2.0,2.0,18.0,0.0,0.0,0.0,1.0,17,12,0,0,6,0,0,21.0,20.0,3885.0,0,17,780,1,0,0
2024-08-18 00:04:51,8.0,Zaidster7,045a4815-ef64-4d11-beb8-de59162585a9,Interference,Strongholds,Ranked Arena,1546,1538,5,Loss,54.74,5889,6380,232,127,105,0.95,1.66,19,1.0,2.0,15.0,0.0,0.0,0.0,0.0,20,8,0,0,3,0,0,20.0,18.0,2550.0,0,10,718,0,1,0
2024-08-18 00:17:49,8.0,Zaidster7,4d08a774-f0ac-4449-a28b-ba9d9c8eaafc,Interference,King of the Hill,Ranked Arena,1538,1547,3,Win,56.79,7349,6009,243,138,105,1.77,14.33,23,4.0,3.0,13.0,3.0,0.0,0.0,1.0,13,13,0,0,5,0,0,22.0,17.0,3060.0,0,13,685,1,0,0
2024-08-18 00:31:36,8.0,Zaidster7,58c5338f-4f82-42f8-82e6-78a3ca0555f2,Recharge - Ranked,Strongholds,Ranked Arena,1547,1540,5,Loss,58.33,7334,8575,228,133,95,0.96,0.66,26,3.0,0.0,17.0,0.0,0.0,0.0,2.0,27,5,0,0,3,0,0,23.0,24.0,3370.0,0,17,912,0,1,0
2024-08-18 00:47:43,8.0,Zaidster7,108fb8d2-e484-4572-9394-8efa9466654d,Live Fire - Ranked,Strongholds,Ranked Arena,1540,1533,5,Loss,65.82,6599,5790,196,129,67,1.29,6.33,22,4.0,3.0,12.0,2.0,0.0,0.0,0.0,17,4,0,0,3,0,0,21.0,20.0,2925.0,0,7,781,0,1,0
2024-08-18 01:02:06,8.0,Zaidster7,f34af339-f560-4d54-9e82-5672de8b1b1c,Solitude - Ranked,King of the Hill,Ranked Arena,1533,1525,7,Loss,59.0,6367,7911,239,141,98,0.65,-5.66,17,3.0,1.0,11.0,0.0,0.0,0.0,0.0,26,10,0,0,3,0,0,24.0,22.0,2450.0,0,5,856,0,1,0
2024-08-18 01:17:25,8.0,Zaidster7,7c46f6e4-318c-4f40-8ba3-8d2f0f122f26,Forbidden - Ranked,CTF 3 Captures,Ranked Arena,1525,1518,5,Loss,45.45,1418,2135,44,20,24,0.83,-1.0,5,0.0,0.0,5.0,1.0,0.0,0.0,0.0,6,0,0,0,2,0,0,7.0,6.0,810.0,0,3,256,0,1,0
2024-08-18 01:22:49,8.0,Zaidster7,42eb5f22-bcb3-4663-aba5-2a6b09c3b867,Argyle - Ranked,CTF 3 Captures,Ranked Arena,1518,1518,1,Draw,61.21,8346,8266,232,142,90,1.13,8.66,26,2.0,0.0,19.0,8.0,0.0,0.0,0.0,23,17,0,0,4,0,0,29.0,26.0,3870.0,0,19,1063,0,0,1
2024-08-19 20:12:10,8.0,Zaidster7,01500f33-3204-4b2d-a31c-1fff1a7c0c61,Forbidden - Ranked,CTF 3 Captures,Ranked Arena,1518,1509,6,Loss,61.72,3580,4218,128,79,49,0.25,-8.66,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,16,10,0,0,1,0,0,12.0,14.0,935.0,0,3,534,0,1,0
2024-08-19 20:21:43,8.0,Zaidster7,ff249c6c-ae5b-411f-a44b-e73212997f2b,Recharge - Ranked,Strongholds,Ranked Arena,1509,1517,1,Win,57.0,6397,6185,207,118,89,1.0,2.0,21,2.0,3.0,12.0,0.0,0.0,0.0,0.0,21,6,0,0,4,0,0,19.0,19.0,2875.0,0,15,740,1,0,0
2024-08-19 20:36:32,8.0,Zaidster7,8b60983a-4b77-45c8-9f94-0a30f02c1984,Solitude - Ranked,King of the Hill,Ranked Arena,1517,1517,5,Left,50.81,2545,3053,124,63,61,0.73,-1.66,8,1.0,1.0,4.0,0.0,0.0,0.0,2.0,11,4,0,0,2,0,0,8.0,10.0,1020.0,0,2,360,0,0,0
2024-08-19 20:42:31,8.0,Zaidster7,bc94da5a-1b8a-42b4-804a-e9409d2609a6,Recharge - Ranked,Slayer,Ranked Arena,1517,1509,5,Loss,57.41,4095,4164,108,62,46,0.87,-2.0,13,3.0,1.0,7.0,0.0,0.0,0.0,0.0,15,0,0,0,4,0,0,11.0,12.0,1300.0,0,10,453,0,1,0
2024-08-19 20:51:50,8.0,Zaidster7,f67f2738-69ea-44c5-bedf-e73548096129,Empyrean - Ranked,CTF 3 Captures,Ranked Arena,0,0,4,Left,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,0.0,0,0,411,0,0,0
2024-08-20 19:11:13,8.0,Zaidster7,10eb2a64-456e-4452-80c7-9231691f816f,Live Fire - Ranked,King of the Hill,Ranked Arena,1509,1501,5,Loss,64.95,6575,7433,214,139,75,0.83,0.33,19,2.0,1.0,10.0,0.0,0.0,0.0,2.0,23,13,0,0,4,0,0,22.0,22.0,2895.0,0,14,827,0,1,0
2024-08-20 19:34:56,8.0,Zaidster7,09080337-2e93-40b2-930c-b3044f54b76e,Argyle - Ranked,CTF 3 Captures,Ranked Arena,1501,1486,6,Left,67.39,1468,1896,46,31,15,0.83,0.0,5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6,3,0,0,2,0,0,6.0,7.0,685.0,0,3,271,0,0,0
2024-08-20 19:40:27,8.0,Zaidster7,9eec45a9-16bf-44a0-a5cd-fd282190b707,Interference,Strongholds,Ranked Arena,1486,1479,5,Loss,58.12,3945,5238,160,93,67,1.18,3.33,13,0.0,0.0,7.0,0.0,0.0,0.0,2.0,11,4,0,0,3,0,0,15.0,15.0,1870.0,0,5,578,0,1,0
2024-08-20 19:51:05,8.0,Zaidster7,17449063-4fd0-4c71-a591-cb1f8cdf8a80,Argyle - Ranked,CTF 3 Captures,Ranked Arena,1479,1479,5,Left,53.57,632,1268,28,15,13,0.5,-2.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,1,0,0,4.0,5.0,200.0,0,0,196,0,0,0
2024-08-20 19:55:08,8.0,Zaidster7,e5399648-acb4-4ec5-b490-9170addaa348,Interference,King of the Hill,Ranked Arena,1479,1471,5,Loss,59.35,3810,4867,123,73,50,0.71,-3.33,12,1.0,1.0,8.0,0.0,0.0,0.0,0.0,17,5,0,0,2,0,0,14.0,15.0,1525.0,0,7,555,0,1,0
2024-08-20 20:14:34,8.0,Zaidster7,b9fe138c-75db-443d-9448-526b5235998c,Live Fire - Ranked,Oddball,Ranked Arena,1471,1464,8,Loss,56.35,8410,8051,252,142,110,1.15,6.33,30,2.0,1.0,18.0,0.0,0.0,0.0,3.0,26,7,1,0,2,0,0,24.0,23.0,3365.0,0,16,892,0,1,0
2024-08-20 20:30:39,8.0,Zaidster7,1f607054-1d7b-4f9b-bdc4-329a2d392a24,Streets - Ranked,Slayer,Ranked Arena,1464,1474,2,Win,55.06,2189,1650,89,49,40,4.5,8.33,9,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2,4,0,0,4,0,0,8.0,6.0,1110.0,0,3,258,1,0,0
2024-08-21 13:41:17,8.0,Zaidster7,40f83ccd-416b-4f49-951d-a28c01ef5f99,Recharge - Ranked,King of the Hill,Ranked Arena,1474,1469,5,Left,58.33,3693,4212,144,84,60,0.93,0.0,14,4.0,1.0,7.0,0.0,0.0,0.0,1.0,15,3,0,0,5,0,0,13.0,12.0,1685.0,0,4,471,0,0,0
2024-08-21 18:25:54,8.0,Zaidster7,ada837c3-dbd8-4beb-be8c-5bf58f60428c,Argyle - Ranked,CTF 3 Captures,Ranked Arena,1469,1469,6,Left,56.12,3812,2649,139,78,61,1.71,6.33,12,0.0,0.0,8.0,2.0,0.0,0.0,0.0,7,4,0,0,4,0,0,8.0,10.0,1425.0,0,10,399,0,0,0
2024-08-21 18:34:26,8.0,Zaidster7,6415167a-e0b6-4fcb-8dd6-cb294e1f9458,Aquarius - Ranked,CTF,Ranked Arena,1469,1479,2,Win,62.88,7214,7017,264,166,98,1.0,4.33,23,6.0,0.0,11.0,0.0,0.0,0.0,0.0,23,13,0,0,5,0,0,20.0,20.0,3305.0,0,11,818,1,0,0
2024-08-21 19:11:15,8.0,Zaidster7,4ba83022-5a0b-4b90-ae88-a4c3440451da,Aquarius - Ranked,CTF,Ranked Arena,1479,1487,3,Win,59.02,5920,6765,205,121,84,0.86,0.33,19,2.0,3.0,13.0,0.0,0.0,0.0,1.0,22,10,0,0,4,0,0,19.0,18.0,2595.0,0,6,746,1,0,0
2024-08-21 19:27:54,8.0,Zaidster7,e7fed451-fd6f-40e4-b20e-fc8d25fe0559,Interference,Strongholds,Ranked Arena,1487,1496,1,Win,63.08,6586,5900,214,135,79,1.35,9.0,23,3.0,0.0,16.0,0.0,0.0,0.0,2.0,17,9,0,0,5,0,0,19.0,18.0,3095.0,0,13,701,1,0,0
2024-08-22 15:01:38,8.0,Zaidster7,67d14822-05cd-43b4-887d-360ecb084e79,Streets - Ranked,Oddball,Ranked Arena,1496,1504,2,Win,61.07,7346,6770,262,160,102,1.0,5.33,20,0.0,2.0,15.0,0.0,0.0,0.0,3.0,20,16,0,0,4,0,0,25.0,20.0,3245.0,0,8,824,1,0,0
2024-08-22 15:16:35,8.0,Zaidster7,a3aa3668-4701-4bd9-9e23-414573a01871,Live Fire - Ranked,Strongholds,Ranked Arena,1504,1513,1,Win,59.56,4051,3206,136,81,55,2.25,12.33,18,1.0,1.0,14.0,1.0,0.0,0.0,1.0,8,7,0,0,5,0,0,12.0,10.0,2435.0,0,8,422,1,0,0
2024-08-22 15:30:57,8.0,Zaidster7,b115aa74-9f4d-49ef-89c2-65b0653e600e,Solitude - Ranked,Slayer,Ranked Arena,1513,1506,5,Loss,58.82,3472,3990,119,70,49,1.0,1.33,13,2.0,0.0,9.0,0.0,0.0,0.0,1.0,13,4,0,0,4,0,0,12.0,11.0,1510.0,0,2,436,0,1,0
2024-08-22 15:39:17,8.0,Zaidster7,fea6ca80-1adf-4bc9-aef8-d9763ca68b1e,Forbidden - Ranked,CTF 3 Captures,Ranked Arena,1506,1500,5,Loss,59.35,6071,4256,214,127,87,2.0,13.0,22,0.0,2.0,11.0,8.0,0.0,0.0,1.0,11,6,0,0,5,0,0,19.0,19.0,2845.0,0,15,748,0,1,0
2024-08-22 16:11:24,8.0,Zaidster7,1c652bf6-1fb6-4d17-b6a2-5e2290cb4fcc,Banished Narrows - Ranked,Doubles Slayer,Ranked Doubles,0,0,3,Left,0.0,0,35,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,63,0,0,0
2024-08-22 16:13:40,8.0,Zaidster7,8266cb92-2d86-41e3-808e-560f0d11010c,Empyrean - Ranked,Doubles Slayer,Ranked Doubles,0,0,3,Loss,55.12,3678,4143,127,70,57,0.62,-4.33,8,2.0,0.0,5.0,1.0,0.0,0.0,0.0,13,2,0,0,3,0,0,12.0,11.0,900.0,0,3,511,0,1,0
2024-08-22 16:24:59,8.0,Zaidster7,b034354c-8d7d-4b3d-84e2-005885457439,Aquarius - Ranked,Doubles Slayer,Ranked Doubles,0,0,1,Win,67.24,4514,3685,116,78,38,1.3,5.66,13,4.0,2.0,6.0,0.0,0.0,0.0,2.0,10,8,0,0,4,0,0,11.0,7.0,1720.0,0,8,420,1,0,0
2024-08-22 16:35:34,8.0,Zaidster7,4af2ef59-585d-4705-a4c1-3655c5537eaf,Sylvanus - Ranked,Doubles Slayer,Ranked Doubles,0,0,1,Win,50.86,4156,3136,116,59,57,1.86,6.66,13,2.0,0.0,9.0,5.0,0.0,0.0,0.0,7,2,0,0,5,0,0,13.0,10.0,1400.0,0,11,535,1,0,0
2024-08-22 16:46:05,8.0,Zaidster7,e8c5a8d8-d8e4-4829-b409-95052d8f827f,Solitude - Ranked,Doubles Slayer,Ranked Doubles,0,1400,3,Loss,62.28,6085,5549,167,104,63,1.07,1.66,15,2.0,0.0,11.0,1.0,0.0,0.0,0.0,14,2,0,0,5,0,0,12.0,11.0,1600.0,0,12,538,0,1,0
2024-08-22 20:17:44,8.0,Zaidster7,1b746208-86b0-4e12-a312-153540c29bf4,Argyle - Ranked,CTF 3 Captures,Ranked Arena,1500,1492,6,Loss,56.45,4714,5002,186,105,81,1.13,4.66,17,1.0,0.0,15.0,1.0,0.0,0.0,0.0,15,8,0,1,6,0,0,16.0,18.0,2100.0,0,7,683,0,1,0
2024-08-22 21:03:07,8.0,Zaidster7,12c97a40-7258-4e70-a099-b4c4bcd6ac97,Forbidden - Ranked,CTF 3 Captures,Ranked Arena,1492,1485,6,Loss,58.3,6299,6092,247,144,103,1.53,12.0,26,4.0,1.0,17.0,1.0,0.0,0.0,0.0,17,9,0,1,11,0,0,19.0,19.0,3035.0,0,12,754,0,1,0
2024-08-22 21:20:09,8.0,Zaidster7,9b202b05-056b-4407-a12d-b96b381287f8,Interference,King of the Hill,Ranked Arena,1485,1494,1,Win,62.43,5964,6138,189,118,71,1.29,6.33,22,3.0,0.0,18.0,1.0,0.0,0.0,1.0,17,4,0,0,3,0,0,19.0,18.0,2885.0,0,10,699,1,0,0
2024-08-22 21:33:20,8.0,Zaidster7,b5aa03e6-42bd-49e3-9189-a3a0c367e5c2,Interference,Strongholds,Ranked Arena,1494,1486,5,Loss,61.48,3247,4300,122,75,47,0.5,-5.66,8,1.0,0.0,5.0,0.0,0.0,0.0,1.0,16,7,0,0,3,0,0,12.0,13.0,1435.0,0,6,480,0,1,0
2024-08-22 21:42:30,8.0,Zaidster7,c42a3a9f-f865-4207-95c8-d878e3092b0f,Solitude - Ranked,King of the Hill,Ranked Arena,1486,1495,1,Win,59.46,3845,2978,148,88,60,2.83,14.0,17,1.0,0.0,14.0,0.0,0.0,0.0,1.0,6,9,0,0,7,0,0,13.0,11.0,2335.0,0,6,421,1,0,0
2024-08-22 21:52:27,8.0,Zaidster7,279de7cf-e35a-4324-8980-c4be23d52e5a,Aquarius - Ranked,CTF,Ranked Arena,1495,1504,1,Win,66.67,8349,6976,237,158,79,1.38,10.33,29,6.0,1.0,16.0,0.0,0.0,0.0,0.0,21,7,0,0,4,0,0,20.0,20.0,3635.0,0,14,788,1,0,0
2024-08-22 22:07:12,8.0,Zaidster7,09902869-11da-4266-bf9e-33e671b354c7,Aquarius - Ranked,CTF,Ranked Arena,1504,1512,4,Win,65.95,6398,6704,232,153,79,0.81,0.0,17,3.0,1.0,10.0,0.0,0.0,0.0,3.0,21,12,0,0,4,0,0,18.0,18.0,2475.0,0,9,723,1,0,0
