Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2022-01-03 05:21:54",1,1,"l 0cty l",91a63f5e-2189-4fec-8828-734935a4a8a1,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,712,727,,,,,,,,,,,,,2,,,,,Win,50.49,4156,2903,410,207,203,1.75,11.00,14,,,,,,,,8,15,0,0,4,0,0,,,,0,5,614
"2022-01-03 05:36:27",1,1,"l 0cty l",4639387a-1032-495e-9af0-6f7652279c81,Streets,Slayer,"Ranked Arena",CrossPlay,Open,727,727,,,,,,,,,,,,,6,,,,,Loss,43.58,2918,3257,358,156,202,0.92,1.00,12,,,,,,,,13,6,0,0,3,0,0,,,,0,3,443
"2022-01-03 05:45:40",1,1,"l 0cty l",e0368e2e-1b34-4228-b1d6-ddbddb49238f,Behemoth,CTF,"Ranked Arena",CrossPlay,Open,727,742,,,,,,,,,,,,,1,,,,,Win,50,5018,4905,626,313,313,0.84,-0.67,16,,,,,,,,19,7,0,0,2,0,0,,,,0,5,805
"2022-01-03 16:28:23",1,1,"l 0cty l",971b49f0-edee-44be-8292-3503f2cbc729,Streets,Strongholds,"Ranked Arena",CrossPlay,Open,742,757,,,,,,,,,,,,,1,,,,,Win,51.11,6649,4500,765,391,374,1.92,14.33,23,,,,,,,,12,10,0,0,5,0,0,,,,0,8,809
"2022-01-03 16:45:21",1,1,"l 0cty l",957832a8-9b53-4ff1-a8c6-91894954512f,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,757,772,,,,,,,,,,,,,4,,,,,Win,46.72,7295,3986,687,321,366,2.64,20.33,29,,,,,,,,11,7,0,0,7,0,0,,,,0,10,794
"2022-01-03 17:01:02",1,1,"l 0cty l",cc716b0f-20d0-451f-b527-b2d436db4e18,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,3,,,,,Win,41.25,5278,5340,640,264,376,1.00,3.33,18,,,,,,,,18,10,0,0,4,0,0,,,,0,6,847
"2022-01-03 17:22:35",1,1,"l 0cty l",e67e162b-5a75-45e6-b951-b5f37cff1e95,Behemoth,CTF,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,5,,,,,Loss,47.57,6360,4492,719,342,377,1.46,6.67,19,,,,,,,,13,2,0,0,5,0,0,,,,0,10,754
"2022-01-03 17:36:48",1,1,"l 0cty l",52fbe1cf-9758-42b2-8210-2908dda073ec,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,4,,,,,Win,33.79,2454,1432,438,148,290,3.67,9.00,11,,,,,,,,3,3,0,0,4,0,0,,,,0,3,434
"2022-01-03 17:46:03",1,1,"l 0cty l",6008140c-c1db-46f4-9893-0e06949728d3,Recharge,Oddball,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,3,,,,,Win,53.6,9787,5173,959,514,445,2.38,25.67,38,,,,,,,,16,11,0,0,5,0,0,,,,0,17,859
"2022-01-03 18:02:35",1,1,"l 0cty l",979b8e5f-7a4b-43e4-8452-f97bb40111d2,Behemoth,CTF,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,1,,,,,Win,46.8,4821,3816,594,278,316,1.55,8.00,17,,,,,,,,11,6,0,1,4,0,0,,,,0,5,602
"2022-01-03 18:21:24",1,1,"l 0cty l",49b6f8fc-9c65-460c-b050-bec8f0b381ed,Recharge,Slayer,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,2,,,,,Win,53.2,4073,2702,391,208,183,1.86,8.00,13,,,,,,,,7,6,0,0,6,0,0,,,,0,10,427
"2022-01-03 18:35:48",1,1,"l 0cty l",38882921-0207-4e6a-9af8-45278c98d74b,Streets,Slayer,"Ranked Arena",Controller,Solo/Duo,0,0,,,,,,,,,,,,,1,,,,,Win,53.12,3574,2824,320,170,150,1.86,7.33,13,,,,,,,,7,4,0,0,4,0,0,,,,0,6,471
"2022-01-03 18:46:25",1,1,"l 0cty l",f74bf315-722a-4f03-a2d6-2890153d1fb8,Streets,Oddball,"Ranked Arena",Controller,Solo/Duo,0,915,,,,,,,,,,,,,4,,,,,Win,48.16,7262,5538,816,393,423,1.00,6.00,17,,,,,,,,17,18,0,0,4,0,0,,,,0,9,943
"2022-01-03 19:04:29",1,1,"l 0cty l",d4731057-b9c7-44b3-9b79-302e352f3e72,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,915,915,,,,,,,,,,,,,5,,,,,Loss,52.07,3157,2649,290,151,139,1.50,4.00,12,,,,,,,,8,0,0,0,4,0,0,,,,0,8,365
"2022-01-03 19:12:12",1,1,"l 0cty l",560dd606-2d89-4600-8d2b-1b5eaa6cd24a,Behemoth,CTF,"Ranked Arena",Controller,Solo/Duo,915,930,,,,,,,,,,,,,1,,,,,Win,50.45,5039,4402,557,281,276,1.20,5.33,18,,,,,,,,15,7,0,0,4,0,0,,,,0,7,757
"2022-01-03 19:26:35",1,1,"l 0cty l",1eb80bd9-b354-433f-a615-ac585ecac076,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,930,930,,,,,,,,,,,,,5,,,,,Loss,49.14,3878,5190,466,229,237,0.67,-4.67,10,,,,,,,,15,1,0,0,3,0,0,,,,0,2,689
"2022-01-03 19:39:41",1,1,"l 0cty l",9f82555b-c3c3-4faa-9e96-a807d5eb0f87,Recharge,Oddball,"Ranked Arena",Controller,Solo/Duo,930,933,,,,,,,,,,,,,4,,,,,Win,42.11,1178,1012,171,72,99,1.67,2.67,5,,,,,,,,3,2,0,0,2,0,0,,,,0,2,315
"2022-01-03 19:46:16",1,1,"l 0cty l",b3829c0f-b395-46b6-b5bf-3d3eb9ba9599,Streets,Strongholds,"Ranked Arena",Controller,Solo/Duo,933,948,,,,,,,,,,,,,1,,,,,Win,52.41,3630,2537,374,196,178,1.75,7.33,14,,,,,,,,8,4,0,0,3,0,0,,,,0,4,556
"2022-01-03 19:56:57",1,1,"l 0cty l",0de1326b-088b-4bf2-9a9f-25fcb26903fb,Recharge,Slayer,"Ranked Arena",Controller,Solo/Duo,948,948,,,,,,,,,,,,,6,,,,,Loss,48.6,2898,2931,356,173,183,1.20,3.33,12,,,,,,,,10,4,0,0,4,0,0,,,,0,2,447
"2022-01-04 21:17:50",1,1,"l 0cty l",4840b205-43ce-462b-b082-6ca54bc2dd1a,Aquarius,CTF,"Ranked Arena",Controller,Solo/Duo,948,948,,,,,,,,,,,,,5,,,,,Loss,48.44,5320,4685,673,326,347,1.43,7.67,20,,,,,,,,14,5,0,0,3,0,0,,,,0,10,769
"2022-01-04 21:32:08",1,1,"l 0cty l",d8d15fea-0ca6-4034-8671-a59873b268c4,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,948,963,,,,,,,,,,,,,4,,,,,Win,52.08,4465,4237,480,250,230,1.07,3.67,16,,,,,,,,15,8,0,0,3,0,0,,,,0,8,726
"2022-01-04 21:46:13",1,1,"l 0cty l",f3ef330a-4795-4151-83ec-9f0829a78560,Aquarius,CTF,"Ranked Arena",Controller,Solo/Duo,963,963,,,,,,,,,,,,,5,,,,,Loss,50.96,5526,5203,575,293,282,0.94,3.67,17,,,,,,,,18,14,0,0,4,0,0,,,,0,3,754
"2022-01-04 22:20:09",1,1,"l 0cty l",af07ba02-7bd2-4a1d-b13b-fc1950504050,Aquarius,Slayer,"Ranked Arena",Controller,Solo/Duo,963,966,,,,,,,,,,,,,3,,,,,Win,48.4,2796,2401,376,182,194,1.38,4.33,11,,,,,,,,8,4,0,0,3,0,0,,,,0,3,640
"2022-01-04 22:32:47",1,1,"l 0cty l",d3a05ac2-10d4-4804-b8d9-d51b3bac3e21,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,966,966,,,,,,,,,,,,,5,,,,,Loss,52.69,6899,6670,687,362,325,1.00,3.33,21,,,,,,,,21,10,0,0,3,0,0,,,,0,6,971
"2022-01-04 22:50:08",1,1,"l 0cty l",aee97295-ebbc-415d-85e7-120414f1b0bc,Streets,Strongholds,"Ranked Arena",Controller,Solo/Duo,966,966,,,,,,,,,,,,,4,,,,,Left,56.1,1210,1334,123,69,54,0.50,-2.00,2,,,,,,,,4,0,0,0,2,0,0,,,,0,0,233
"2022-01-04 22:56:53",1,1,"l 0cty l",20012a98-e425-432a-8eb6-c476ef8a3f12,Aquarius,Slayer,"Ranked Arena",Controller,Solo/Duo,966,981,,,,,,,,,,,,,1,,,,,Win,49.78,4828,3535,464,231,233,1.89,9.00,17,,,,,,,,9,3,0,0,5,0,0,,,,0,11,597
"2022-01-04 23:08:50",1,1,"l 0cty l",c3e8569e-f9cd-4adf-afd5-6e38badc3c51,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,981,981,,,,,,,,,,,,,5,,,,,Loss,53.36,5661,5992,596,318,278,0.84,0.67,16,,,,,,,,19,11,0,0,3,0,0,,,,0,4,895
"2022-01-05 02:19:23",1,1,"l 0cty l",79d5dade-fe5d-48c3-8538-139dc4098f68,Recharge,Strongholds,"Ranked Arena",Controller,Solo/Duo,981,996,,,,,,,,,,,,,1,,,,,Win,48.12,2755,2299,345,166,179,1.14,2.67,8,,,,,,,,7,5,0,0,3,0,0,,,,0,2,444
"2022-01-05 02:28:24",1,1,"l 0cty l",51412bdc-0d1a-46f5-91c1-7073f0bcf0c6,Aquarius,Slayer,"Ranked Arena",Controller,Solo/Duo,996,996,,,,,,,,,,,,,6,,,,,Loss,44.06,4155,2984,320,141,179,1.44,5.33,13,,,,,,,,9,4,0,0,2,0,0,,,,0,4,565
"2022-01-05 02:40:51",1,1,"l 0cty l",8150063b-e826-4297-868e-b9b05671dc6b,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,996,1011,,,,,,,,,,,,,4,,,,,Win,50.09,5915,3669,575,288,287,2.40,15.00,24,,,,,,,,10,3,0,1,7,0,0,,,,0,9,701
"2022-01-05 02:54:04",1,1,"l 0cty l",7915c2de-0627-443c-944b-2aa03c92ebf3,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,1011,1014,,,,,,,,,,,,,1,,,,,Win,54.55,5452,4810,561,306,255,0.76,0.67,13,,,,,,,,17,14,0,0,3,0,0,,,,0,7,956
"2022-01-05 03:11:32",1,1,"l 0cty l",c076348f-5404-4162-af09-fc2b7203414f,Aquarius,CTF,"Ranked Arena",Controller,Solo/Duo,1014,1029,,,,,,,,,,,,,1,,,,,Win,41.5,5504,3990,694,288,406,1.71,11.67,24,,,,,,,,14,5,0,0,4,0,0,,,,0,8,768
"2022-01-05 03:25:49",1,1,"l 0cty l",8ce1e972-5543-46bf-a31b-1b9c9e3e8084,Recharge,Oddball,"Ranked Arena",Controller,Solo/Duo,1029,1029,,,,,,,,,,,,,8,,,,,Loss,44.16,6194,5034,770,340,430,1.17,5.33,21,,,,,,,,18,7,0,0,6,0,0,,,,0,5,897
"2022-01-05 03:42:20",1,1,"l 0cty l",52dd6b54-e02b-4a22-8f98-dfe526f0c561,Streets,Oddball,"Ranked Arena",Controller,Solo/Duo,1029,1029,,,,,,,,,,,,,8,,,,,Loss,52.98,9395,8103,855,453,402,1.23,10.33,37,,,,,,,,30,10,0,0,4,0,0,,,,0,14,1118
"2022-01-05 17:43:25",1,1,"l 0cty l",cb0a2271-f1ab-4ac4-b12a-e009c2bc2e09,Recharge,Slayer,"Ranked Arena",Controller,Solo/Duo,1029,1032,,,,,,,,,,,,,4,,,,,Win,41.13,2924,2203,355,146,209,2.67,6.67,8,,,,,,,,3,5,0,0,6,0,0,,,,0,3,624
"2022-01-05 21:44:19",1,1,"l 0cty l",17f16cbc-780b-4974-949d-026f71f52ae3,Bazaar,CTF,"Ranked Arena",CrossPlay,Open,772,772,,,,,,,,,,,,,5,,,,,Loss,48.83,6338,5155,686,335,351,1.11,4.33,21,,,,,,,,19,7,0,0,4,0,0,,,,0,4,762
"2022-01-05 21:59:29",1,1,"l 0cty l",1a3d47bc-84a1-4a6b-9ded-d31edfea657b,Aquarius,Slayer,"Ranked Arena",Controller,Solo/Duo,1032,1035,,,,,,,,,,,,,4,,,,,Win,39.14,3239,2644,327,128,199,1.29,4.33,9,,,,,,,,7,7,0,0,4,0,0,,,,0,4,531
"2022-01-05 22:13:28",1,1,"l 0cty l",e3c537d7-2a48-42d8-b284-27da9ed43dc6,Streets,Strongholds,"Ranked Arena",Controller,Solo/Duo,1035,1038,,,,,,,,,,,,,1,,,,,Win,49.36,2296,2756,235,116,119,0.60,-2.67,6,,,,,,,,10,4,0,0,2,0,0,,,,0,2,446
"2022-01-05 22:22:44",1,1,"l 0cty l",5073a9bb-450c-43a3-9f8e-dc5cf3f8ecbf,Recharge,Strongholds,"Ranked Arena",Controller,Solo/Duo,1038,1041,,,,,,,,,,,,,1,,,,,Win,49.81,4613,4406,532,265,267,0.75,-1.67,12,,,,,,,,16,7,0,0,4,0,0,,,,0,9,727
"2022-01-05 22:36:32",1,1,"l 0cty l",e28b6495-6def-40f3-8f90-2bfe0b050148,Aquarius,CTF,"Ranked Arena",Controller,Solo/Duo,1041,1056,,,,,,,,,,,,,1,,,,,Win,51.04,4488,5346,480,245,235,0.93,2.00,13,,,,,,,,14,9,0,0,3,0,0,,,,0,2,751
"2022-01-05 22:50:38",1,1,"l 0cty l",3c5f6404-b0dc-4afd-a4ec-2561a33e3e84,"Live Fire",Oddball,"Ranked Arena",Controller,Solo/Duo,1056,1056,,,,,,,,,,,,,8,,,,,Loss,43.6,4721,5286,539,235,304,0.61,-4.33,11,,,,,,,,18,8,0,0,4,0,0,,,,0,2,753
"2022-01-05 23:04:30",1,1,"l 0cty l",55a76909-6656-41d8-a9d1-c985056aabb6,Recharge,Strongholds,"Ranked Arena",Controller,Solo/Duo,1056,1056,,,,,,,,,,,,,5,,,,,Loss,54.22,4764,5287,498,270,228,0.63,-5.33,12,,,,,,,,19,5,0,0,4,0,0,,,,0,3,685
"2022-01-05 23:17:19",1,1,"l 0cty l",c1e118af-0f0b-493c-9c03-171083247e69,"Live Fire",Strongholds,"Ranked Arena",Controller,Solo/Duo,1056,1071,,,,,,,,,,,,,1,,,,,Win,53.38,4888,4975,532,284,248,0.94,1.00,15,,,,,,,,16,6,0,0,4,0,0,,,,0,2,803
"2022-01-06 01:20:13",1,1,"l 0cty l",195b7c40-541d-4c3d-a3b6-4ef2ecc2d0c9,Recharge,Slayer,"Ranked Arena",Controller,Solo/Duo,1071,1071,,,,,,,,,,,,,8,,,,,Loss,40.6,2084,2820,335,136,199,0.33,-7.00,4,,,,,,,,12,3,0,0,1,0,0,,,,0,1,425
"2022-01-06 01:43:54",1,1,"l 0cty l",cae41511-54d6-475d-b54e-8d297129bd9e,"Live Fire",Slayer,"Ranked Arena",Controller,Solo/Duo,1071,1086,,,,,,,,,,,,,2,,,,,Win,48.77,2950,2404,326,159,167,2.33,9.67,14,,,,,,,,6,5,0,0,7,0,0,,,,0,7,454
"2022-01-06 01:53:02",1,1,"l 0cty l",31f42c31-72e3-4da6-a2be-6e828d314e59,Streets,Oddball,"Ranked Arena",Controller,Solo/Duo,1086,1101,,,,,,,,,,,,,1,,,,,Win,52.71,8147,8510,683,360,323,0.90,0.33,26,,,,,,,,29,10,0,0,4,0,0,,,,0,10,1113
"2022-01-06 02:13:44",1,1,"l 0cty l",23ebd4ea-451e-4681-8d36-e4c75d3e21ea,Recharge,Strongholds,"Ranked Arena",Controller,Solo/Duo,1101,1100,,,,,,,,,,,,,5,,,,,Loss,43.67,5310,4874,529,231,298,0.89,-0.33,16,,,,,,,,18,5,0,0,3,0,0,,,,0,3,716
"2022-01-06 02:27:05",1,1,"l 0cty l",b14f3871-35eb-4ca9-aa08-e895697cdb56,Bazaar,CTF,"Ranked Arena",Controller,Solo/Duo,1100,1115,,,,,,,,,,,,,2,,,,,Win,49.45,4400,4190,544,269,275,0.86,-1.00,12,,,,,,,,14,3,0,0,3,0,0,,,,0,3,718
"2022-01-06 02:40:41",1,1,"l 0cty l",2be37fc0-8b36-4fff-aa50-a1b899cae0d7,Streets,Strongholds,"Ranked Arena",Controller,Solo/Duo,1115,1114,,,,,,,,,,,,,5,,,,,Loss,54.52,7226,6280,609,332,277,1.14,5.00,25,,,,,,,,22,6,0,0,5,0,0,,,,0,9,905
